type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Courbevoie (92400),1.250 €,2 pièces 1 chambre 43 m²,"En plein cœur de Bécon, lumineux T2 de 43 m² (refait à neuf en 2018), situé au 5ème étage sur 6 avec ascenseur d’une petite copropriété bien entretenue comprenant :
- Entrée (avec grand placard : penderie et étagères)
- Wc séparés (avec meuble de rangement)
- Grande cuisine séparée (plan de travail, évier, plaques vitrocéramiques, four, hotte, nombreux placards) + une arrière-cuisine (avec un grand placard/débarras)
- Séjour avec porte-fenêtre double-vitrage en pvc neuve
- Chambre avec porte-fenêtre double-vitrage en pvc neuve
- Grande salle de bains (avec baignoire !)
Au sol, parquet neuf (sauf pièces d'eau, carrelage).
Electricité encastrée refaite aux normes (nombreuses prises dans chaque pièce).
Immeuble fibré.
Appartement donnant sur cour intérieure avec vue dégagée. Immeuble avec double accès sécurisé (porte badge/code puis porte code/interphone). Local à vélo sécurisé i.e. situé à l'intérieur de l'immeuble avec accès par clé.
A proximité du parc de Bécon (200 m), des commerces (nombreux commerces traditionnels : bouchers, boulangers, pharmacies, cordonnier ainsi que La Poste, Monoprix, Picard, etc. à 100 m), des transports (bus 175, 167, 275 à 250 m – transilien : gare de Bécon-les-Bruyères à 6 min à pied : Paris St-Lazare en 7 min, La Défense en 5 min - métro : ligne 3, Pont de Levallois à 15 min à pied).
Loyer : 1.250E/mois dont 200 E provision charges (chauffage et eau chaude compris).
Dépôt de garantie : un mois de loyer hors charges.
Libre au 6 octobre.
Idéal jeune couple.
Agence s'abstenir.",| Bécon-les-Bruyères| Pont de Levallois - Bécon| Asnières-sur-Seine
Location Appartement,Le Chesnay-Rocquencourt (78150),680 €,1 pièce 17 m²,"Studio meublé en rez-de-jardin, 17m2 : entrée, pièce à vivre avec kitchenette équipée, salle de bains avec wc. Entièrement rénové, très bon état. Très lumineux.
Immeuble très bien entretenu, digicode, gardien, espaces verts.
A proximité des transports : bus 2, 5, 8, 9
Commerces à côté : Super U, banque, poste, boulangerie ...",| La Celle-Saint-Cloud| Versailles - Rive Droite| Vaucresson
Location Appartement,Asnières-sur-Seine (92600),1.040 €,2 pièces 1 chambre 40 m²,"Métro Les Agnettes à 100 m.

2 pièces 40 m2, 1er étage sur rue : double séjour, cuisine, wc séparés, salle d'eau avec douche.
Refait à neuf.

Loyer : 1.040 E/mois (charges, électricité, gaz et eau compris).

Sérieuses garanties demandées.",
Location Appartement,Chaville (92370),710 €,1 pièce 21 m²,"Dans résidence sécurisée de bon standing, avec gardien et digicode, au 1er étage avec ascenseur, studio non meublé de 21 m² refait à neuf, avec jardin privatif et petite terrasse. Entrée-cuisine équipée (réfrigérateur-congélateur, plaques vitrocéramiques, hotte, placards), pièce principale ensoleillée avec parquet, vue dégagée sans vis-à-vis. Salle de bains avec accessoires, wc et pré-équipement lave-linge. Nombreux rangements. Cave très saine en rez-de-chaussée. Bus 171 au pied d'immeuble (arrêt Marivel) vers métro ligne 9 (Pont de Sèvres) et T2. 640 €/mois + 70 € provision charges (chauffage, eau chaude et froide compris)",| Sèvres - Ville d'Avray| Chaville - Rive Droite| Sèvres - Rive Gauche
Location Appartement,Sevran (93270),460 €,1 pièce 1 chambre,"Pavillon rénové et meublé proche du centre ville et du canal de l'Ourcq
A 5 min a pied du centre ville
A 10 min a pied RER B gare Sevran Livry.

4 chambres à louer à 460 € chacune/mois.

Charges non incluses, les compteurs seront au nom des colocataires (électricité, eau, internet).",| Sevran - Livry| Rougemont - Chanteloup| Freinville - Sevran
Location Appartement,Paris 7e (75007),950 €,3 pièces 2 chambres 30 m²,"Paris 7e Tour Eiffel.

Location meublée pour 1 ou 2 étudiants, dans un immeuble sécurisé avec concierge, 5e étage sans ascenseur, sur grande cour calme, appartement lumineux.
2 chambres, 1 cuisine, 1 salle de douche avec wc.
Chaque pièce étant distribuée par un couloir, une colocation est possible.
Cuisine équipée frigo, 2 plaques électriques, 1 lave-linge, table et chaises.
2 chambres, chacune avec 1 lit de 1,20 m de large, 1 placard, 1 bureau.
Chauffage et eau chaude collective par immeuble, internet par fibre, local vélo.
Transports à proximité: RER C, Métro Alma-Marceau, école militaire, Bir-Hakeim.
Garantie et caution exigées.",| Pont de l'Alma| Iéna| Alma - Marceau
Location Appartement,Levallois-Perret (92300),714 €,1 pièce 11 m²,"Studette meublée Wifi/Télétravail toute équipée à Paris-Levallois Dispo en fin septembre.

Studio meublé Wifi Paris - Levallois-Perret, équipé (TV, vaisselles, plaques, frigidaire, micro-ondes, linges, digicode, gardien), propre, calme. Studio éligible aux APL (entre 150 € et 300 €). Aucunes nuisances ne sont tolérées dans le bâtiment. Le gardien et le propriétaire sont présent dans l'immeuble.

C'est idéal pour ceux recherchant le calme absolu pour se reposer et/ou travailler sur le web.

Le métro Louise Michel ligne N°3 (2 min à pied) et à 15 min du cœur de Paris (Saint-Lazare). Les commerces sont à proximité ainsi que toutes les écoles d'ingénieur: IDREA, HEC, ESTACA, EFJ, IFSI, ICART Photo, CELSA Paris Sorbonne, Paris Dauphine.

Loyer : 690.00 E / mois + 24€ de charges forfaitaires.
Nous sommes joignable à partir de 15h jusqu'à 22h. uniquement Tél ou sur les Applications Signal/ Telegram/ WhatUp/Viber pas de sms.",| Louise Michel| Anatole France| Porte de Champerret
Location Appartement,Paris 1er (75001),2.000 €,2 pièces 1 chambre 41 m²,"Superbe appartement meublé de 2 pièces et 41m2 bénéficiant d'un emplacement exceptionnel en plein centre de Paris.

Refait complètement à neuf en 2017, il est idéalement situé à 1min à pied du métro Louvre – Rivoli.

Entièrement meublé et avec des prestations de grande qualité (parquet en bois et poutres apparentes) cet appartement comprend tous l'équipement nécessaire :
- Lave-linge
- Cuisine équipée avec plaques à induction et hotte de cuisson
- Douche et baignoire
- Linge de maison et couettes
- Couverts.

Disponible dès maintenant pour un loyer de 1 900€/mois + charges.


Superb fully furnished apartment of 2 rooms and 41m2 benefiting from an exceptional location in the center of Paris.

Completely refurbished in 2017, it is ideally located 1min walk from the Louvre - Rivoli metro station.

Fully furnished and with high-quality fittings (wooden floor and exposed beams) this apartment includes all the necessary equipment:
- Washing machine
- Equipped kitchen with induction hobs and cooker hood
- Shower and bathtub
- Household linen and duvets
- Utensils

Available now for a rent of 1 900€, excluding charges.",| Louvre - Rivoli| Châtelet - Les Halles| Pont Neuf
Location Appartement,Ivry-sur-Seine (94200),820 €,2 pièces 1 chambre 39 m²,"Appartement de 2 pièces, 39 m2 situé au 3ème et dernier étage.
Au calme et très lumineux sans vis-à-vis.

Proche de tous commodités et transport, RER C à 10 min à pied, bus 323 et d'autres au pied de l'immeuble.",
Location Appartement,Paris 18e (75018),645 €,1 pièce 15 m²,"Refait neuf.

18ème Métro Jules Joffrin /Marcadet,

Studio Meublé, 73 rue Labat, tout confort, porte sécurisée,

1er étage, clair, calme, soleil, sur cour agrémenté de plantes vertes, quartier commerçant et agréable,
Coin cuisine avec plaques électriques, réfrigérateur, placard.
Salle d'eau avec douche, wc et fenêtre
lit une personne, table,chaises, penderie.

645 Euros charges comprises.
Libre de suite.",| Château Rouge| Marcadet - Poissonniers| Jules Joffrin
Location Appartement,Paris 17e (75017),1.600 €,2 pièces 1 chambre 35 m²,"Au calme au sein d'une jolie villa privée avec gardien du quartier des Ternes, à proximité de l'Etoile, des commerces et des transports.
Cet appartement se situe au deuxième étage sans ascenseur d'un charmant immeuble.
Appartement très lumineux et sans vis à vis, entièrement refait à neuf et est composé d'une cuisine, entièrement équipée, ouverte sur un grand et beau séjour avec parquet, moulures, cheminée, bibliothèque. Salle de douche, lavabo, wc. Grande chambre dotée d'un large dressing et lit double intégré et confortable de la Maison du Convertible.
L'appartement dispose d'une grande cave.

80m métro Argentine (L1).
380m métro Etoile (L1,2,6 et RER A).",| Argentine| Charles de Gaulle - Étoile| Neuilly - Porte Maillot
Location Appartement,Créteil (94000),1.500 €,4 pièces 3 chambres 77 m²,"Caution solidaire nécessaire. Si l'annonce est sur le site c'est qu'elle est toujours valable.
Très important.
Certains immeubles de Créteil , dont celui ici concerné, qui sont reliés au réseau de chauffage urbain, bénéficient d'un gros avantage en cette période de prix croissant de l'énergie. Comme le réseau de chauffage urbain utilise plus de 50% d'énergie renouvelable, la TVA sur cette énergie est facturée au taux de 5,5 % au lieu de 20 %.

Créteil (94) face préfecture, immeuble standing, F4 excellent état, 12ème étage, très ensoleillé et clair, verdure, double exposition est/sud-ouest sans vis à vis sur les deux faces, vue imprenable.

Cuisine équipée avec débarras, salle de bains carrelée avec lave-linge, séjour double exposition, 3 chambres avec parquet, wc, 3 placards, porte d'accès blindée, loggias carrelées,
cave avec porte blindée et nombreuses étagères 3m de haut, interphone, fibre, gardien, parking sous-sol, possibilité garage haute sécurité.
Energie classe D, co2 classe B.

4 à 7 min à pied métro ligne 8, écoles, parc, lac, centre commercial régional
(carrefour,tous commerces,poste,12 cinémas...),
maisons des arts et de la culture.

Accès aux RER A, B, C, D et Rungis par TVM (autobus rapide en site protégé).
proche A86 et A4, avec accès rapide Paris, Orly, Roissy, Rungis.

5 à 15 min à pied de classes à horaires aménagés
musique-sports-danse (primaire,collège,conservatoire).

Loyer 1368 € plus 132 € de provision sur charges hors eaux (chauffage inclus), plus
provision pour la consommation d'eau à débattre compte tenu de votre consommation habituelle et du prix de l'eau au m3 : 4,57 € pour l'eau froide et 11 € pour l'eau chaude.",| Créteil - Université| Créteil - Préfecture (Hôtel de Ville)| Créteil - L'Échat (Hôpital Henri Mondor)
Location Appartement,Créteil (94000),1.400 €,3 pièces 2 chambres 71 m²,"**Bel appartement F3, 71 m2. Avenue Pierre Billote - Lac de Créteil.
2 chambres + 1 salon spacieux avec nombreux rangements + salle de bain et toilettes séparés / 2 balcons. Chauffage central. Nombreux commerces à proximité. Transport bus et métro.

Place de parking disponible à la location en sus
Plus d’infos par courriel.",| Créteil - Pointe du Lac| Créteil - Préfecture (Hôtel de Ville)| Pompadour
Location Appartement,Saint-Denis (93200),840 €,2 pièces 1 chambre 41 m²,"St-Denis la Plaine-93.

2 pièces 41 m2, parfait état, immeuble standing, proche Stade de France. Séjour, chambre, salle de bains, cuisine, rangements. Chauffage électrique. Parking. Le tout sécurisé.

Sérieuses références demandées.
Loyer 790€/mois + provision charges 50 € soit 840€",| La Plaine - Stade de France| Stade de France - Saint-Denis| Front populaire
