type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Sceaux (92330),570 €,1 pièce 14 m²,"3 min à pied de la gare RER B, proche du Parc de Sceaux, et au centre ville.
Une chambre à louer de 14 m2 indépendante, au rez-du-jardin bien exposée dans une grande Résidence calme et bien sécurisée (digicode),
idéale pour un étudiant ou jeune actif.

De nombreux commerces à proximité à 50 m. Transport en communs (bus) bien desservis.

Chauffage collectif/Eau chaude collectif.
Coin cuisine refait à neuf équipée d'un réfrigérateur, micro-ondes et le nécessaire.
Canapé lit avec matelas latex neuf.
Petit bureau
wc séparés sur le palier, en face, très bien entretenus (3 passage de prestataire ménage la semaine).

Loyer : 570 €/mois charges comprises
Exigence : Caution et Garant.

Ne souhaite pas de démarchage professionnel.",| Sceaux| Fontenay-aux-Roses| Robinson
Location Appartement,Le Chesnay-Rocquencourt (78150),1.490 €,4 pièces 2 chambres 67 m²,"Le Chesnay-Rocquencourt, rue de Glatigny.
Appartement familial de 4 pièces avec balcon filant situé au 3ème étage sans ascenseur, composé d'un double séjour et de 2 chambres avec de beaux volumes. Rénové suite au départ du précédent locataire, fonctionnel, calme et ensoleillé.
90€ de charges mensuelles.",| Versailles - Rive Droite| La Celle-Saint-Cloud| Vaucresson
Location Appartement,Bezons (95870),945 €,2 pièces 1 chambre 47 m²,"Situé à 50 m du T2, bel appartement très lumineux avec volets roulants au 10ème étage, ascenseur.
Refait à neuf il y a 3 ans : cuisine ouverte sur séjour équipée neuve (four à pyrolyse, plaque à induction, hotte,) salle de bains: vasque, meuble sous vasque, baignoire et douche, chambre parquetée avec dressing.

Parking extérieur sécurisé attribué à l'appartement, cave, interphone, gardienne.

Loyer : 795 E/mois + 150 E charges.",| Pont de Bezons| Parc Pierre Lagravère| Les Greves
Location Appartement,Eaubonne (95600),1.350 €,3 pièces 2 chambres 67 m²,"Appartement lumineux dans résidence calme, de 3 pièces de 67 m², entièrement meublé et équipé.

Comprenant un séjour double de 27 m², 2 chambres, dressing, cuisine équipée (four, plaque de cuisson gaz, micro-ondes, réfrigérateur, congélateur, lave vaisselle), cellier avec lave linge, salle de bains, wc, balcon.

L'appartement dispose d'une place de stationnement numérotée et d'une cave.

Chauffage collectif par radiateur, fenêtres double vitrage, digicode, espaces vert agréable commun.

Les charges comprennent le chauffage et l'eau. L'électricité et le gaz (chauffe eau et plaque de cuisson) sont à votre charge.

Cet appartement a été complètement rénové et sera libre le 1er novembre.

Situé dans un quartier prisé, tranquille, au 2ème étage sans ascenseur, au pied des commerces et du marché avec un centre commercial à 200 m, gare d'Ermont-Eaubonne à 1,4 km, bus à 50 m, idéalement placé !

Une présentation par mail de votre situation personnelle est préconisée avant toute visite, un dossier complet vous sera demandé lors de votre venue.",| Ermont - Halte| Ermont-Eaubonne| Champ de courses d'Enghien
Location Appartement,Paris 17e (75017),2.171 €,4 pièces 2 chambres 72 m²,"Joli T4 Haussmannien en parfait état, dans une rue calme près de la Porte des Ternes à proximité de tous les commerces.

L'appartement comprend une entrée, un grand double séjour de 30m², deux chambres, une cuisine aménagée, un grand dressing, une salle de bains et une cave en sous-sol. L'appartement est loué vide.

Chauffage et eau chaude individuel.

Uniquement destinés aux particuliers, professionnels s'abstenir.",| Neuilly - Porte Maillot| Porte Maillot (Palais des Congrès)| Porte de Champerret
Location Appartement,Meaux (77100),520 €,2 pièces 1 chambre 26 m²,"Petit 2 pièces au 1er étage dans un petit immeuble de 2 étages.
Appartement repeint entièrement en 2020.

Il offre une petite entrée, un séjour lumineux avec un coin cuisine et poutres apparentes, une salle de bain avec douche et wc et une petite chambre (ou bureau).

L'appartement est calme. Le séjour donne sur une maison de retraite et la chambre est à l'arrière de l'immeuble. Chauffage individuel électrique. Faible émission GES (classe C). Consommation énergétique de 346 kWhEP/m2.an : Classe F mais très proche classe E (<330).

L'immeuble est situé en plein centre-ville à 100 m de la place Henri IV dans le quartier de Saint-Nicolas-Foch.
L'immeuble est sans vis-à-vis et se situe en face d'un square arboré.
Tous services à proximité.
Faibles charges comprises (30 euros par mois de provision).
Conditions d'acceptation : CDI hors période d'essai, Freelance/indépendant ( si rémunération suffisante), étudiant si caution Parents.",| Meaux| Trilport| Esbly
Location Appartement,Paris 19e (75019),1.080 €,2 pièces 1 chambre 33 m²,"Dans un immeuble en pierre de taille et sécurisé (double porte, digicode, Vigik et interphone) situé aux pieds du parc des Buttes Chaumont et du métro Laumière L5, appartement meublé de 33 m², composé : d'une chambre (grande penderie, lit 2 places avec coffre de rangement intégré, petit bureau et étagères), d'un séjour (canapé convertible 2 places, petites tables de salon, bibliothèque, table pour dîner avec rallonges pouvant accueillir 6 personnes , 2 chaises pliantes), d'une cuisine équipée neuve (plaques à induction, réfrigérateur, micro-ondes, nombreux rangements), d'une salle de bains (grande douche, pommeau eau de pluie, rangements et machine à laver faisant aussi sèche linge), d'un wc séparé et d'une cave avec étagère de rangement.
Au 1er étage sans ascenseur, l'appartement et ses grandes fenêtres en double vitrage donnent sur une cour intérieure, très calme.
Il est en parfait état, aménagé pour un gain de place optimum et présente le charme de l'ancien avec ses moulures et son parquet massif.
Proche de toutes commodités, restaurants et commerces.
Il dispose d'un chauffage et eau chaude électrique individuel, ainsi que d'une climatisation réversible utilisable toute l'année.

Libre le 22 octobre 2022.
Loyer charges comprises.

A noter que pour des raisons d'assurance nous ne pouvons accepter que les personnes ayant un revenu mensuel net d'au minimum 3 fois le montant du loyer charges comprises.
Merci de me contacter en priorité par courriel.",| Laumière| Ourcq| Buttes Chaumont
Location Appartement,Neuilly-sur-Marne (93330),980 €,2 pièces 1 chambre 42 m²,"Rez-de-chaussée surélevé.
Entrée avec placards, cuisine aménagée (frigidaire, lave linge, plaques vitrocéramiques, évier avec placards haut et bas, four, micro ondes), salle de bains avec baignoire, wc, porte blindée, double vitrage, chauffage par immeuble.
Lit, étagère pour les vêtements.
Parking et cave.

Garant demandé.
Loyer 860 €/mois + 120 € charges - chauffage compris.
Pour toute information, merci de nous contacter entre 12h30 et 14h ou 18h30 et 20h",| Neuilly-Plaisance| Bry-sur-Marne| Le Chénay Gagny
Location Appartement,Vitry-sur-Seine (94400),1.300 €,3 pièces 2 chambres 59 m²,"F3 avec 2 chambres dans résidence 2016 BBC au 2 eme étage dans une résidence de 5 étages.
Appartement de 59 mètres carres, cuisine ouverte sur salon équipée avec hotte, four et Plaque vitro.
Parquet dans salon, chambres et carrelage dans la salle de bain et cuisine
Balcon dans le salon.
Salle de bain avec baignoire, lavabo meuble.
Placard à l’entrée.

Appartement sécurisé avec digicode+Videophone.
Accès par ascenseur ou escalier, une place de parking au sous-sol.

Rue calme à proximité boulangerie, commerces, école maternelles, primaire et collège.
Transport métro ligne 7 à 10 min et T9 a 2 min à pied.

Disponible à partir du 20 octobre 2022.",| Villejuif - Paul Vaillant-Couturier| Villejuif - Léo Lagrange| Mairie d'Ivry
Location Appartement,Bourg-la-Reine (92340),995 €,1 pièce 32 m²,"Bourg-la-Reine, Centre-ville, 5 min RER B, 20 mn â 7 min Parc de Sceaux, 5min Lakanal, Immeuble récent, calme, Studio meublé 32 m2 refait à neuf, Balcon 6m2, au 3e ascenseur, Entrée avec grand placard, salle de bains/wc, Séjour portes-fenêtres sur vue dégagée avec table, lit, canapé, Cuisine séparée équipée, frigo/congélateur, grand four, plaques, hotte. Chauffage collectif. DPE classe D. Digicode. Interphone. Cave. Loyer 900€ et charges 95€.",| Bourg-la-Reine| Parc de Sceaux| Sceaux
Location Appartement,Paris 13e (75013),1.475 €,2 pièces 1 chambre 48 m²,"Location vide Paris 13e Métro Olympiades.
2 pièces 48 m², 4e étage avec ascenseur.
Avec cave et parking en sous-sol
Comprenant :
- Entrée avec placard
- Séjour avec grande baie vitrée orientée sud vue dégagée
- Chambre avec placard orientée sud vue dégagée
- Cuisine équipée avec plaques à induction, four intégré, hotte, meubles hauts et bas.
- Salle de bains avec baignoire et meuble vasque.
- Wc séparés
Parquet chêne, fenêtres pvc double-vitrage.
Chauffage et eau chaude individuels électriques.
Gardien, interphone vidéo.
Jardin collectif intérieur.

Loyer charges comprises : 1475 € /mois.

Contact par téléphone.",| Olympiades| Porte d'Ivry| Maryse Bastié
Location Appartement,Palaiseau (91120),960 €,2 pièces 1 chambre 42 m²,"Au premier étage d'une résidence récente au calme.
Appartement meublé 2 pièces de 42 m².
Situé au bout de la rue de Paris, à moins de 5 mn à pied du RER Palaiseau-Villebon, et à environ 10 mn du centre ville de Palaiseau et de tous les commerces.
Il est composé : d'une entrée, d'un séjour avec une cuisine équipée ouverte d'environ 27m² donnant sur une vaste terrasse de 20m² sans vis-à-vis (également meublée) et sur verdure, d'une chambre, d'une salle d'eau avec wc séparés. Chauffage et eau chaude individuels électriques.

Entièrement équipé et meublé (lave-linge, cafetière, TV, etc.) et rénové.

L'ensemble de l'appartement est exposé sud-est.
Une place de parking en sous-sol complète ce bien.

Le loyer mensuel est de 960 € dont 85 € de provision sur charge.
Ressources nettes mensuelles demandées : 2700 € + garant. (dossier : 3 derniers bulletins de salaires, dernier déclaration impôts sur les 3 dernières années et pièce d identité nécessaires pour visite)

Appartement libre à compter du 1er novembre.",| Palaiseau - Villebon| Palaiseau| Lozère
Location Appartement,Fontaine-le-Port (77590),520 €,1 pièce 19 m²,"A 10km de Melun, à Fontaine-le-Port (77590). 2 route de Massoury. Proche gare.
Au 2ème étage (sur deux étages) d'un l'immeuble rénové.
Studio de 19 m², avec cuisinette et salle d'eau/wc.
Accès internet et TNT. Pré-équipement téléphone. Gardienne. Laverie au rez-de-chaussée.
Loyer 520 €/mois, fournitures d'eau et d'électricité comprises. Loyer net sans charges.
Conditions : CDI et garantie solvable ou étudiant avec garantie parentale. Tel ou mail.",| Fontaine-le-Port| Chartrettes| Bois-le-Roi
Location Appartement,Chevilly-Larue (94550),1.190 €,2 pièces 1 chambre 42 m²,"Au pied du Tramway T7 ""Auguste Perret"" dans quartier calme et en plein expansion, un joli T2 de 42m² situé au 1ère étage d'un un immeuble neuf de grand standing avec ascenseur de 8 étages.
L’appartement est entièrement équipé et meublé avec une cuisine américaine de 6m2 comprenant une plaque électrique, four, hotte, réfrigérateur, machine à laver
la cuisine donne sur un grand séjour très lumineux de 20 m2.
L'appartement est composé aussi d'une chambre de 12m2
L'appartement est exposé nord-ouest avec vue sur le jardin collectif.
Une place de parking complète également la location. Un local vélo est à disposition.
Vous bénéficierez de nombreux transports et de nombreuses commodités :
- Au pied du Tramway 7 (station August Perret) menant en 10min au métro 7 Villejuif Louis Aragon et en 25min à l'aéroport d'Orly (ou 5min en voiture). La nuit, le noctilien N22 est à 5min à pied. Le métro 14 sera à 3min à pied en 2024.
- Pour les déplacements en voiture, l'appartement est proche de l'A86 et de l'A6.
- Le Centre commercial Belle Epine, le Marché International de Rungis, un centre de fitness, une future Cité de la Gastronomie en 2024, un bureau de poste et une boulangerie sont tous accessibles en 10min à pied.
- Le parc du Petit-Le-Roy et la piscine Pierre de Coubertin sont à 15min à pied.

Libre de suite – 1.190 €/mois charges comprises (incluant chauffage collectif, eau chaude et entretien des parties communes).

Dépôt de garantie : 2100 €
Visite sur rendez-vous.
Un dossier complet du locataire et du garant sera demandé lors de la visite :
- pièce d'identité
- 2 derniers avis d'imposition
- contrat de travail
- attestation de l'employeur certifiant la continuité du contrat de travail
- 3 dernières quittances de loyer et 3 derniers bulletins de salaire.
- Bail d'1 an renouvelable. Idéal Visale",| Moulin Vert| Bretagne| Domaine Chérioux
Location Appartement,Paris 17e (75017),2.650 €,3 pièces 2 chambres 93 m²,"7 Boulevard Berthier. (prés du palais justice) 3 Pièces - Aucun vis à vis - très dégagé. vraiment très clair et calme.
Surface habitable total 93.40 m² - Surface au sol. Totale avec le balcon 96.84 m².
Libre de suite.

Pied métros ligne 14, RER, PC et bus. Au 3e étage (en faite un 4e étage car il y a un entresol), ascenseur. T3 meublé, 97 m² avec le , balcon : grand séjour très lumineux, salle de bains refaire a neuf avec lave-linge, wc indépendants, cuisine américaine complètement équipée.

Avec quelques meubles (possibilité d'en enlever des meubles )
En très bon état, très propre: Cuisine équipée, Fenêtres neuves, peinture en très bonne état, literie, armoire neuves....le tout en très bon état...
Caution et garantie demandées.

GES E (de 36 à 55)
Classe énergie E (de 231 à 330)

Loyer : 2400 €/mois + charges 250€
Possibilité d'un parking à 155€/mois à 100 mètres gardé jour et nuit.
Merci de me contacter le matin avant 9 heures si possible. ou sur mon portable.",| Porte de Clichy| Brochant| Pont-Cardinet
Location Appartement,Issy-les-Moulineaux (92130),2.950 €,3 pièces 2 chambres 96 m²,"Charmant appartement, clair, au calme donnant sur parc de l'hôpital de Corentin Celton. A 2 min du métro Corentin Celton, 5 min du Tram, à proximité des commerces, du marché, etc. L'appartement donne sur la cour d'honneur et une des chambres sur la cour intérieure. Salle de bains, salle de douche + wc, wc indépendant avec place pour machine à laver le linge + séchoir, nombreux placards, cuisine équipée. Loggia de +3m2. Copropriété très, très bien entretenue et appartement dans un très bon état. Parking + Local à vélos et un local a poussettes dans le hall de l'immeuble. Gardien. Agences s'abstenir.",| Corentin Celton| Mairie d'Issy| Desnouettes
Location Appartement,Garches (92380),750 €,1 pièce 19 m²,"Studio 19m meublé avec parking couvert Garches limite St-Cloud (rue d'en face).

Rez-de-chaussée surélevé sur parc plus haut qu'un 1er étage, dans résidence standing ravalement hall d'entrée escalier refait à neuf. 10 min de la gare de St-Cloud ou Garches, commerce à proximité libre le 1er novembre 2022

Entrée avec grand placard, salle de bains équipée refaite, coin cuisine équipé avec élément de cuisine avec table et chaise pliante, micro-ondes, frigo lave-linge, pièce principale meuble télé avec télévision, canapé bz haut de gamme + mezzanine 1 couchage, armoire 3 portes, table basse, bureau.

Loyer 680 E/mois +70 E de charges, chauffage eau compris tout compris. sans supplément garantie",| Garches - Marnes-la-Coquette| Saint-Cloud| Le Val d'Or
Location Appartement,Marines (95640),520 €,1 pièce 22 m²,"20 min Cergy.

Dans résidence privée, calme, interphone et digicode, studio 22 m2 (19 m2 loi Carrez), neuf, au 2ème et dernier étage sans ascenseur.
Double vitrage, vmc, radiateur électrique calorifuge, très bonne isolation phonique et thermique.
Cuisine aménagée (plaque de cuisson, hotte), salle de bains/wc.
Place de parking, cave.

Véhicule indispensable.

Libre.
Loyer 470 E/mois + 50 E provision charges (eau + charges communes).

Gare proche : Chars, Pontoise, Cergy Préfecture.",
Location Appartement,Paris 11e (75011),935 €,1 pièce 29 m²,"Studio 5ème étage avec ascenseur, calme, vue sur jardin. Proche métro Charonne (290m).
Comprenant: entrée, salon/chambre, cuisine séparée, salle de bain avec wc, rangement et cave.",| Philippe Auguste| Charonne| Rue des Boulets
Location Maison,Aulnay-sous-Bois (93600),1.125 €,3 pièces 2 chambres 63 m²,"Petit pavillon en fond de cour d’une petite copropriété sécurisée de 3 pièces à Aulnay sous-Bois entièrement refait à neuf.
A proximité des écoles, commerces et de la gare.
Ce petit pavillon d'environ 63 m2, comprend un salon avec cuisine de 25m2, 2 chambres dont une de 20m2 et une salle de bains avec wc ainsi qu’un parking.

Loyer : 1050 E/mois + 75 E de provision pour charges.

Une présentation par mail de votre situation personnelle est préconisée avant toute visite.. Un dossier complet vous sera impératif lors de la visite.
Pour toute candidature merci de communiquer les documents suivants :
- copie de l'avis d'imposition 2021
- 3 derniers bulletins de salaire
- copie du contrat de travail en CDI
- copie de la carte d'identité
- Attestation de versement éventuel de la CAF.

Pour information, il vous sera demandé que le loyer et charges totalisent au minimum1/3 de vos revenus (salaire + CAF etc ...) soit un minimum de 3375 euros de revenu net.",| Aulnay-sous-Bois| Le Blanc-Mesnil| Rougemont - Chanteloup
Location Appartement,Cergy (95000),560 €,1 pièce 1 chambre 11 m²,"Colocation, convivialité : 5 chambres. Appartement d'exception.

Bel appartement, lumineux, calme, complètement meublé, dans la résidence chic ""Les Châteaux de Saint Silvère"" calme, boisée et sécurisée. Gardien l'immeuble, ascenseurs, interphone, etc.

Disponible début Mai 2022, superbe colocation étudiante et/ou jeunes actifs idéalement situé à peine 5-10 min à pied des grandes écoles, 5 min de l'A15 et proche gare de Cergy Préfecture, à 5 min de l'ESSEC.

Prestations de qualité, appartement meublé rénové avec goût. Appartement complètement équipé.

5 chambres disponibles, décoration soignée, appartement lumineux, balcon, cadre boisé, pour vous dépayser après vos longues journées de travail !

Les groupes de 5 personnes seront privilégiés.

Prix par chambre : 560 € loyer charges comprises (eau froide, eau chaude, chauffage…) électricité en sus
Possibilité de stationnement pour véhicule : 50E en sus.
Pour le contact préféré répondre a l'annonce ou envoyé un sms.
Les contacts présentant l'activité, le nombre des personnes, période d'emménagement et de départ, garants, seront traites en priorité.",| Cergy - Préfecture| Eragny - Neuville| Neuville - Université
Location Appartement,Rueil-Malmaison (92500),2.100 €,3 pièces 2 chambres 75 m²,"Appartement 3 pièces 2 chambres 75 m²

Dans le secteur recherché Bellerive / les Martinets, au sein d'une résidence de standing des années 80 avec tennis et un hectare de jardin paysager, à deux pas du RER A et de l'A86, très beau 3 pièces meublé 75 m2 traversant avec deux terrasses de 15 m2 en rez de jardin.

L'appartement comprend une grande et lumineuse pièce à vivre (salon / salle à manger) avec cuisine ouverte intégralement équipée, deux chambres donnant sur terrasse sud, une salle de bains, wc séparés.

Une place de parking sécurisée et numérotée ainsi qu'une grande cave sèche sont incluses.

L'appartement est en parfait état, meublé et équipé (literie complète, armoires, salon et cuisine de jardin).

Meubles de rangement dans chaque pièce, électroménager (TV, fer à repasser, micro-ondes, four, frigo, congélateur, plaque vitrocéramique, hotte aspirante, lave-vaisselle, lave-linge, ustensiles de cuisine et vaisselle), et doté de grandes penderies.

A proximité vous trouverez de nombreux commerces / marchés, transports en commun (bus à 200m et RER A à moins d'1 km), écoles (crèches, primaire, collège, lycées de renommée) et infrastructures de loisir (tennis privé dans la résidence, golf, piscine, et parcs à proximité, bords de seine aménagés à 500m).

Idéal pour couple ou famille.

Loyer de 2100 euros charges comprises.",| Rueil-Malmaison| Chatou - Croissy| Nanterre - Ville
Location Appartement,Aubervilliers (93300),660 €,1 pièce 1 chambre 12 m²,"Chambre à louer dans un appartement de 56 m2 en colocation. Vous serez seulement 2 colocataires à occuper cet appartement tout confort et totalement meublé.

Dans le Quartier Résidentiel de Montfort, proche tous commerces et Métro Ligne 7 à 200 m, nous louons une chambre meublée de 12 m² dans un appartement meublé de 56 m² situé au 2ème Étagé et totalement refait à neuf.

Idéal pour célibataire ou Étudiant(e), l'appartement est totalement refait à neuf et comprend 2 chambres spacieuses, 1 double séjour à l'américaine de 30 m², grande salle de bains et 1 cuisine aménagée.
Vous partagerez l'appartement de 3 pièces avec un autre locataire déjà en place.

Loyer : 660 E charges comprises

Libre immédiatement
Merci de me contacter de 7H à 18H par Whatsapp uniquement",| Fort d'Aubervilliers| Stade Géo André| Danton
Location Appartement,Paris 17e (75017),2.550 €,3 pièces 2 chambres 80 m²,"Superbe appartement lumineux récemment entièrement rénové.
Situé au premier étage d'un petit hôtel particulier très calme
Proche de la place Péreire et de la ligne 3 du métro et du RER C. Nombreux commerces à proximité.
Cuisine équipée, salle de bains avec baignoire.",| Porte de Champerret| Pereire (Maréchal Juin)| Pereire - Levallois
Location Appartement,Dammarie-les-Lys (77190),1.182 €,4 pièces 3 chambres 74 m²,"Avenue du Colonel Fabien, quartier pavillonnaire calme, à 25 min de Paris. Dans un immeuble neuf avec ascenseur, appartement 4 pièces de 74,52m2, au 3ème et dernier étage + Terrasse de 6,14m2, séjour cuisine équipée (évier, plaque induction, hotte), 3 chambres, wc séparés, salle de bains (baignoire, 2e wc, meuble vasque, sèche serviette). Porte pallière blindée. Chauffage collectif gaz. Local vélo, Local poussette. Interphone, accès résidence avec Digicode, Badges Vigik. 2 places de Parking sous-sol. Chauffage & Eau chaude compris dans les charges. Proche de tous commerces et écoles, Gare RER D Melun à 10 min. Première location.
Emménagement possible dès le 02 novembre.
Pour visiter l'appartement merci d'en faire la demande par mail.",| Melun| Le Mée| Livry-sur-Seine
Location Appartement,Levallois-Perret (92300),1.300 €,2 pièces 1 chambre 33 m²,"Joli appartement de 33 m2 situé à Levallois (à 5 min du Métro 3 Pont de Levallois, à 15 min de Paris Saint Lazare).

Disponible à partir du 01 mars 2023

Tout équipé (Wifi / Prise réseau Haut débit, Machine à laver).

Le logement est composé d'un salon avec une cuisine ouverte.
Un couloir mène ensuite à la salle de bains et à la chambre avec un bureau.
Nombreux commerces et restaurants à proximité et des transports facilement accessibles.

Loyer : 1.200 €/mois + 100 € forfaitaires de provision de charges et internet inclus (EDF et Eau non inclus).

Appartement pour 1 personne ou un couple sans enfants.

Une présentation par mail de votre situation personnelle est préconisée avant toute visite.",| Pont de Levallois - Bécon| Anatole France| Asnières-sur-Seine
Location Appartement,Suresnes (92150),2.295 €,4 pièces 3 chambres 83 m²,"Beau 4 pièces, en parfait état, au 4e étage dans construction récente.
Appartement bien agencé, calme et lumineux. Séjour 25 m2 environ, 3 chambres avec placard, 1 grande salle de de bain avec baignoire/wc, 1 salle d'eau avec douche, un wc séparé. Eau chaude et chauffage urbain.
Terrasse 5 m2, une cave et un double parking.

Proximité des transports. Proximité écoles et crèche dans la résidence.
83 m2 hors terrasse de 5m2.

Disponible à partir du 21 octobre 2022",| Belvédère| Suresnes-Mont-Valérien| Puteaux
Location Appartement,Boulogne-Billancourt (92100),1.600 €,2 pièces 1 chambre 38 m²,"Appartement lumineux au 7eme et dernier étage orienté Sud sans vis à vis, situé 57 Bd Jean Jaurès entre le métro Jean Jaurès L10 et le centre commerciale les Passages. Métro à 3 min à pied de l'appartement.
Location meublée haut standing. Cuisine équipée, Canapé, lit coffre avec matelas 160 X 200. Appartement climatisé, balcon filant accessible par la chambre et salon. Grande salle d'eau avec wc séparés.
Machine à laver et séchante, lave vaisselle, four, frigo, plaque à induction, hotte, TV
eau chaude et chauffage collectif, Parking au 1er sous-sol de l'immeuble possible en sus",| Boulogne - Jean Jaurès| Marcel Sembat| Boulogne - Pont de Saint-Cloud (Rhin et Danube)
Location Appartement,Paris 19e (75019),900 €,1 pièce 1 chambre,"Mise à dispo d'une magnifique chambre et salle de bains privative de 35m² dans un duplex de 200m².

Recherchons, (Olga et moi Karl) rapidement, un(e) nouveau(elle) colocataire dans un Duplex de 200m² Porte des Lilas (à la limite du 19éme arrondissement) avec qui nous pourrions bien nous entendre, sympathique, ayant un peu d'humour et de conversation, très ordonné, respectueux du lieu. Musiciens, personnes aimant cuisinées ou jardinées appréciées.

La chambre comprend un grand lit, un grand bureau, une salle de bain indépendante (avec baignoire et wc), une machine à laver, une terrasse indépendante. Meublé avec goût et entièrement refait à neuf très récemment, la chambre est située dans un duplex très ensoleillé (13ème étage) et très calme, tout équipé, avec une immense terrasse arborée de 60 m² avec vue sur tout Paris sans aucun vis-à-vis. Le duplex est habité par le propriétaire.

Espace partagé avec le propriétaire + une autre colocataire (chambres privatisées) :
Immense Salon 60m² ouvert sur Cuisine Américaine, Superbe Terrasse arborée, Petit salon de travail/relaxation, Bureau panoramique face terrasse. Proche métro et commerce. Loyer de 900 euros toutes charges comprises (internet et électricité compris). Dépôt de garantie de 900 euros.

Lieu disponible le 1er nov. 2022

Visite possible uniquement après envoi d'une présentation par mail de votre situation personnelle est préconisée avant toute visite. Un dossier complet vous sera impératifs lors de cette visite.
Copie carte d'identité, 3 derniers bulletins de salaire, dernier avis d'imposition, copie contrat de travail. Prévoir caution solidaire.

Prix : 900 €/mois tout compris (EDF, chauffage, électricité, internet) / Dépôt de garantie de 900 euros.

Contact par tel Karl ou mail.",| Pré Saint-Gervais| Hôpital Robert-Debré| Danube
Location Appartement,Alfortville (94140),830 €,1 pièce 27 m²,"A louer dans immeuble neuf de standing.
Avenue du Maréchal de Lattre de Tassigny 94140 Alfortville.

Grand et Très Beau studio 27,70 m2 Meublé et Equipé, lumineux et au calme, cuisine et salle de bains séparées, large séjour.
Faible consommation énergétique, normes RT 2012 : station Maisons-Alfort /Alfortville, et terminal de bus à 50m. Gare de Lyon à une station.
Tous commerces et commodités à proximité

Loyer : 770 E/mois + 80 E charges (eau et chauffage).
Revenu minimum requis : 2.300 Euros net/mois.",| Maisons-Alfort-Alfortville| Maisons-Alfort - Stade| Le Vert-de-Maisons
Location Appartement,Paris 15e (75015),3.200 €,5 pièces 3 chambres 94 m²,"Appartement familial entièrement refait à neuf (septembre 2022) bénéficiant d'une belle vue très dégagée (5è étage) sur la Tour Eiffel et un vaste square arboré dont il domine la canopée.

Cuisine entièrement équipée, salle de bains et wc séparé.
Une des trois chambres dispose de son propre cabinet de toilette avec douche. Salon salle à manger traversant double exposition (N-NE/S-SW). Possibilité d'une chambre supplémentaire au 8è étage (avec ascenseur)ayant l'eau.
Le quartier, calme et très bien habité, en lisière du 7è arrondissement et du champ de mars, offre tous commerces (un monop tout neuf en bas de l'immeuble, une supérette à côté, boulangerie, épicerie, boucherie, blanchisserie etc. et le voisinage des pôles commerciaux de la rue de Lourmel et la Motte PIcquet Grenelle. Lignes de métro 6,8 et 10, bus 82 et 80 à proximité immédiate, stations velib et lime en bas de l'immeuble.. Aire de jeux dans le parc pour les enfants, écoles juste à côté, église Saint Léon avec activités pour les jeunes.",| Dupleix| La Motte-Picquet - Grenelle| Avenue Émile Zola
Location Appartement,Eaubonne (95600),960 €,2 pièces 1 chambre 56 m²,"2 pièces 56 m2, immeuble récent avec digicode. 3 mn de la gare.
Entrée, grand séjour ouvrant sur terrasse (12 m2 et jardin privatif 40 m2). Une chambre parquetée, salle de bains avec baignoire, miroir et meuble vasque, wc indépendants, dressing, cuisine fermée et équipée, interphone. Cave.
Loyer : 960 E/mois charges comprises.",| Ermont-Eaubonne| Ermont - Halte| Cernay
Location Maison,Paris 6e (75006),2.950 €,3 pièces 2 chambres 66 m²,"Plein cœur 6e - rue de Sèvres. 3 pièces de 66 m2 loué meublé – 2 chambres, grand séjour salle à manger.
Immeuble 18e siècle au 1er étage - très calme (bâtiment cour), très clair (5 fenêtres exposées Sud).
Proximité immédiate tous commerces, Hermès, Bon Marché…, bus, métro, parkings publics.
Appartement refait à neuf par architecte décorateur habitable immédiatement
Cuisine équipée, parquet chêne, nombreux placards et tous équipements neufs dont électroménager (frigo, lave-vaisselle, lave-linge séchant, TV…) + 2 lits + salon / salle à manger…
Chauffage individuel électrique.

Loyer mensuel de 2.950 Euros,
Inclus : forfait de charges + internet.
Exclus : consommation électrique et taxe d'habitation.",| Sèvres - Babylone| Saint-Sulpice| Rennes
Location Maison,Oinville-sur-Montcient (78250),1.300 €,5 pièces 4 chambres 125 m²,"Maison ancienne mitoyenne entièrement rénovée en 2016, située à Oinville Sur Montcient, village du Vexin recherché, à 5km gare et 30 mn de Paris par A13 ou A15.
Toutes commodités dans le village : cabinet médical, pharmacie, boulangerie, boucherie, coiffeur, restaurant. Collège à 6km, Lycée à 8km, de la maternelle à la primaire et crèche sur place.
La maison se compose au rez de chaussée d'une pièce principale avec cuisine aménagée ouverte sur séjour , wc avec lave-mains.
Au 1er étage, 2 chambres, salle de bain avec baignoire et douche, wc avec lave-mains.
Au 2ème étage, 2 chambres, un bureau, salle de douche, wc.
2 caves voûtées en sous-sol, terrasse avec pelouse (terrain bien séparé de la maison mitoyenne, pas de vis à vis), 2 places de parking, local poubelle. Grille fermant le parking.

Libre fin octobre 2022.
Loyer mensuel 1300€.
Contact par mail, merci de laisser vos coordonnées en exposant brièvement votre situation.",| Juziers| Meulan - Hardricourt| Gargenville
