"address","location/lat","location/lng","name","numberOfGuests","pricing/nights","pricing/rate/amount","pricing/rate/amountFormatted","pricing/rate/currency","pricing/rate/isMicrosAccuracy","pricing/rateType","pricing/totalPrice/accommodation","pricing/totalPrice/amount","pricing/totalPrice/amountFormatted","pricing/totalPrice/cleaningFee","pricing/totalPrice/currency","pricing/totalPrice/guestFee","roomType","stars","url"
"Paris, Île-de-France, France","48.84975","2.28818","★ Superb Tradition Room","2","1","338","$338","USD","false","nightly","338","338","$338",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/50281786"
"Paris, Île-de-France, France","48.87339","2.32587","Hôtel Folkestone Opéra***Chambre Twin  Classique","2","1","406","$406","USD","false","nightly","356","406","$406",,"USD","50","Room in hotel",,"https://www.airbnb.com/rooms/46325160"
"Paris, Île-de-France, France","48.861","2.344","★ Classic Comfort room in a 3* hotel","2","1","338","$338","USD","false","nightly","338","338","$338",,"USD","0","Room in hotel","4","https://www.airbnb.com/rooms/54064058"
"Paris, Île-de-France, France","48.881","2.299","★Junior Suite","4","1","491","$491","USD","false","nightly","491","491","$491",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35178658"
"Paris, Île-de-France, France","48.877","2.345","Maison Mère, Epicurean nest in the center of Paris","2","1","366","$366","USD","false","nightly","366","366","$366",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/43549877"
"Paris, Île-de-France, France","48.869","2.334","LOVELY ROOM IN PARIS","2","1","380","$380","USD","false","nightly","380","380","$380",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/35671839"
"Paris, France","48.853","2.344","Chambre Tradition Cour","2","1","382","$382","USD","false","nightly","382","382","$382",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35242486"
"Paris, Île-de-France, France","48.861","2.344","★ Deluxe bedroom in a 3* hotel","2","1","371","$371","USD","false","nightly","371","371","$371",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/54064610"
"Paris, Île-de-France, France","48.887","2.359","KUBE PARIS Design & Luminous Room","2","1","441","$441","USD","false","nightly","441","441","$441",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/46960158"
"Paris, Île-de-France, France","48.86607","2.33638","Hôtel Washington Opera****JUNIOR SUITE","2","1","478","$478","USD","false","nightly","478","478","$478",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/47021162"
"Paris, Île-de-France, France","48.887","2.359","KUBE PARIS Design & Luminous XL Room","2","1","508","$508","USD","false","nightly","508","508","$508",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/46960396"
