type,adresse,prix,details,description,supplements
Vente Maison,Rambouillet (78120),1.160.000 €,10 pièces 6 chambres 300 m² Terrain 30.000 m² 3.867 € le m²,"Située sur la commune de Rambouillet, cette construction contemporaine de 1984 avec toiture ardoises dispose de 300 m2 habitables sur un parc de 3 hectares (1ha de pelouses et 2ha de foret) avec un courts de tennis en quick et 4 box à chevaux ; En lisière de la Forêt domaniale, elle est exempte de toute nuisance bien que très proche de l'agglomération. Terrain exceptionnel à Rambouillet.

C'est par un grand hall d'entrée que l'on accède à un vaste séjour de plus de 60 m2 en avec sol en pierre de bourgogne, cheminée en marbre et vue sur la forêt. On communique vers une salle à manger, une cuisine lumineuse de 20 m2, un cellier. Belle terrasse ensoleillée.

Toujours en plain pied, on accède aux chambres : suite parentale de 30 m2 avec sa salle de bains en marbre et dressing, 5 chambres, 2 salles d'eau, 2 wc, rangements.
Au-dessus du garage deux voitures de 58 m2, on dispose d'un appartement indépendant de 48m2 avec 2 pièces, cuisine, wc et salle de bains.
Chauffage électrique et bois. Bien isolée.

Commerces, écoles, gare et centre à 3 min en voiture. Paris-Montparnasse à 30 min.
Visite virtuelle 3D sur simple demande par email.",| Rambouillet| Le Perray| Les Essarts-le-Roi
Vente Appartement,Suresnes (92150),660.000 €,4 pièces 3 chambres 94 m²,"Centre-ville à proximité immédiate du Marché Caron. Quartier animé et commerçant de l'Avenue E. Vaillant. Ecoles. Centres médicaux et Hôpital Foch à proximité.
Dans un immeuble de 2005 un appartement de 4 pièces et 94 m² au 3ème étage sur 6, exposé sud-ouest avec vue dégagée et un superbe tilleul couvert d'or à l'automne (voir photo).

Il est composé d'un vaste séjour de 28m² - avec balcon de 4,55m² - ouvert sur une entrée de 7m² et sur une cuisine de 10 m² réaménagée en 2020, 3 chambres avec 1salle de bains, une salle d'eau avec toilettes, un wc séparé. Les trois chambres, l'entrée et le dégagement sont équipés de placards intégrés.
En complément il est doté d'une cave de 8m² et de 2 places de parking au niveau -2 face au hall d'ascenseurs.
Chauffage par radiateurs électriques basse température installés en 2015.
La résidence comporte 3 bâtiments indépendants de 27 logements chacun.
Les charges de copropriété sont de 1560€ /an. La consommation annuelle moyenne d'électricité comprenant chauffage et eau chaude sanitaire est 5 000kwh pour un montant légèrement inférieure à 1 000€.
Taxe foncière 2022= 1 830€. Taxe habitation 2021= 1 754€.",| Le Val d'Or| Suresnes-Longchamp| Les Coteaux
Vente Appartement,Valenton (94460),130.000 €,2 pièces 1 chambre 40 m² 3.250 € le m²,"Valenton centre, proche des commerces et des transports (200 m du futur Téléval).
Dans une petite copropriété de 10 appartements, au 2e étage, 4 appartements 2 pièces, + couchage en mezzanine chauffage électrique, ils sont tous occupés, appartement en bon état avec bon rapport locatif.",| Créteil - Pointe du Lac| Villeneuve - Triage| Villeneuve-Saint-Georges
Vente Appartement,Paris 17e (75017),680.000 €,2 pièces 1 chambre 47 m²,"Batignolles. Proximité immédiate de tous les commerces, transports, espaces verts, commodités etc...

Dans un immeuble en bon état avec digicode. Au 1er étage sur 6 avec ascenseur.

Appartement 2 pièces 57m2 - 47m2 + 20m2 pondérés de terrasse, clair et calme, se composant d'une entrée donnant immédiatement sur une belle pièce de vie avec cuisine équipée ouverte, une chambre avec rangement, une salle d'eau avec douche ainsi qu'un wc indépendant.

Belle terrasse au calme donnant sur jardin.

Chauffage électrique. Double vitrage.

Une cave complète ce bien. Local à vélos.

Charge copropriété : 2400 E
Taxe foncière : 800 E",| Pont-Cardinet| Brochant| Porte de Clichy
Vente Maison,Plaisir (78370),475.000 €,5 pièces 4 chambres 140 m² Terrain 533 m² 3.393 € le m²,"Maison individuelle en L située dans un quartier calme et recherché de Plaisir (les cent arpens, dans le haut de la Boissière). Ecole maternelle à cinq minutes à pieds. Transports scolaires pour les écoles élémentaires, le collège et le lycée. Arrêt de bus à 20 mètres desservant également la gare Plaisir Grignon (10 minutes) ligne N vers Dreux, Versailles Chantier et Paris Montparnasse. La gare est à environ 25 minutes à pieds.

Cette maison familiale comprend une entrée desservant d'un côté, une cuisine aménagée et équipée avec plaque induction, four encastré et lave-vaisselle, de l'autre une salle de bains avec deux fenêtres et wc.
L'entrée dessert également un vaste séjour de 46m2 avec cheminée ouvrant sur une terrasse plein sud et le jardin.
Un dégagement permet l'accès à l'espace nuit comprenant 3 chambres de plus de 12m2 avec placards intégrés dont une suite parentale avec salle d'eau et wc.
A l'étage, combles aménagés de 21m2 (Carrez) et un grenier offrant un vaste espace de rangement.
A l'extérieur, entrée carrossable en graviers permettant le stationnement de deux véhicules, petite piscine ronde hors-sol de 3,6M de diamètre avec filtre à sable, chalet de jardin de 10m2 entièrement isolé et cabane. Terrain faisant le tour de la maison d'une superficie de 533m2.
Diagnostics faits. Aucun défaut au niveau de l'installation électrique, idem pour le gaz.",| Plaisir - Grignon| Villiers - Neauphle - Pontchartrain| Plaisir - Les Clayes
Vente Appartement,Paris (75016),1.110.000 €,4 pièces 2 chambres 99 m² 11.212 € le m²,"Situé dans une rue calme, à proximité des commodités, restaurants, commerces, banques, écoles, transports, à 7 min à pied de la station de métro ""Jasmin"" - Ligne 9.

Au sein d'une charmante copropriété, sécurisée et bien entretenue, au 4ème étage sur 6 avec ascenseur.

Bel appartement 4 pièces au charme de l'ancien d'une superficie de 99 m² comprenant :

une entrée donnant sur un lumineux double séjour (orienté est) avec moulures au plafond et nombreux rangements.
Un long couloir couloir dessert une cuisine indépendante aménagée, une buanderie, deux chambres (dont l'une avec placards intégrés), une salle de bains avec wc.

Chauffage gaz, double vitrage, une cave
Très bon état

Charges copropriété : 4.400€/an
Taxe foncière : 1.800€
Taxe habitation : 1.800€",| Jasmin| Mirabeau| Ranelagh
Vente Appartement,Paris 11e (75011),840.000 €,4 pièces 3 chambres 83 m²,"Notre appartement est situé dans une grande résidence extrêmement agréable et familiale à cinq minutes de la place de la Nation. Il comporte un grand séjour-cuisine, deux grandes chambres, une troisième plus petite (chambre d'enfant ou bureau), une buanderie, une salle de bains (avec douche, baignoire, lavabo double vasque et wc) et un wc.
Il est lumineux et bénéficie d'une triple exposition (Sud pour le séjour, Ouest ou Est pour les chambres) ainsi que d'un balcon de 7m².
Nous l'avons refait à neuf en 2015, avec de nombreux rangements construits sur mesure. Nous le vendons également avec une place de parking idéalement située en face de l'ascenseur et une cave.
Notre résidence dispose de nombreux espaces verts dont une air de jeux pour enfants. Ces espaces nous isolent totalement du bruit de la vie parisienne. Crèches et écoles de qualité à proximité.
Agences s'abstenir.",| Avron| Buzenval| Alexandre Dumas
Vente Appartement,Saint-Maur-des-Fossés (94100),1.580.000 €,6 pièces 4 chambres 200 m² 7.900 € le m²,"La Varenne Saint-Hilaire centre (RER, marché, commerces à proximité immédiate).
Immeuble de 2007 pierre de taille. Duplex en dernier étage.
4 chambres avec chacune sa salle d'eau, expo Est-Ouest traversant, deux terrasses.
Box 3 voitures , grande cave et buanderie privative. (Combles exploitables).",| La Varenne - Chennevières| Champigny| Le Parc de Saint-Maur
Vente Appartement,Colombes (92700),350.000 €,3 pièces 2 chambres 57 m² 6.140 € le m²,"Dans le quartier prisé de la Petite Garenne proche de la Garenne-Colombes au sein d'une copropriété calme et bien entretenue, grand 3 pièces en rez-de-chaussée sur-élevé.

L'appartement est un T3 lumineux offrant de beaux volumes comprenant une entrée, un séjour, 2 chambres avec dressing, l'ensemble exposé plein sud et traversant (toutes les fenêtres sont en double vitrage).
Il dispose également d'une cuisine aménagée spacieuse et refaite à neuf, de toilettes indépendantes et d'une salle de bain moderne avec baignoire.

Une cave en sous-sol et un local dans la cour complètent ce bien. DPE D.

L'immeuble profite d'une cour collective et d'un jardin partagé très agréables. Pas de gros travaux de copropriété à prévoir.

Emplacement idéal à 6 min à pied de la gare de la Garenne-Colombes (ligne L à 15 min de Saint Lazare et à 2 min du RER A) et à 10 min à pied du T2 (Charlebourg permettant d'accéder en 10 min à la Défense).

Toutes les commodités (commerces, écoles, centre commercial...) à moins de 10 min à pied.",| La Garenne-Colombes| Jacqueline Auriol| Charlebourg
Vente Appartement,Paris 12e (75012),115.000 €,1 pièce 10 m²,"Studette en très bon état (isolation phonique, grande fenêtre double vitrage, chauffe-eau instantané électrique, plomberie refaite). Surface au sol : 12 m² - Surface loi Carrez : 9,70 m²

* Mode de chauffage individuel (radiateur bain d'huile programmable)
* Située au 6ème étage sans ascenseur par l'entrée principale, sécurisée avec badge et digicode.
* Exposition sud, belle luminosité, au calme sur cour. Wc sur le palier.
* Très bonne situation, à proximité immédiate des commerces (laverie, pressing, pharmacie, banques, commerces alimentaires dont 2 supermarchés, bars, restaurants…)

Métros : Daumesnil (Ligne 8) et Dugommier (Ligne 6) à 3 min
BUS : lignes 87, 77, 215, 29, 46, 64, 71 à 4 min
Gare de Lyon et Bois de Vincennes à 15 min à pied ou 3 arrêts de bus

Idéal 1er investissement ou pied-à-terre (utilisé comme pied-à-terre professionnel par propriétaire).

** Logement vendu équipé.
** Une cave (+/- 2m²) complète le bien.

Montant des charges : 28 € par mois. Montant taxes foncières : 231€ par an. Coût électricité : 20€ par mois.
Les travaux ont été votés et payés.

Professionnels de l'immobilier, s'abstenir svp.",| Dugommier| Daumesnil (Félix Éboué)| Montgallet
